,4.9_rbf_matern32_sin_lfbgs_0_0,4.9_rbf_matern32_sin_lfbgs_1_0,4.9_rbf_matern32_sin_lfbgs_2_0,4.9_rbf_matern32_sin_lfbgs_3_0,4.9_rbf_matern32_sin_lfbgs_4_0
       [ 2.58294331e-01],
       [-1.12463994e-01],
       [ 1.15703360e-01],
       [-2.88052969e-01],
       [-5.84818681e-01],
       [ 1.34189169e-01],
       [-7.47239487e-02],
       [-1.21982961e-01],
       [ 8.31485834e-01],
       [-3.07450424e-01],
       [ 1.96387767e-01],
       [ 2.04235504e-01],
       [-9.51182135e-02],
       [-4.15793943e-01],
       [ 1.43945582e-01],
       [-1.07344677e-01],
       [-9.42951139e-01],
       [-5.28578729e-01],
       [-3.16331036e-01],
       [ 9.74090025e-01],
       [-7.30143798e-02],
       [ 4.59306034e-01],
       [ 2.33814198e-01],
       [ 1.60688568e-01],
       [ 2.13679079e-01],
       [-8.12513245e-02],
       [ 3.23630967e-01],
       [ 1.54521321e-01],
       [ 1.10820754e+00],
       [ 2.82282076e-01],
       [-2.51514557e-01],
       [-1.58558118e-02],
       [ 1.01890035e+00],
       [-4.07512330e-01],
       [ 1.46438000e-01],
       [-2.24856675e-01],
       [ 1.36786172e+00],
       [-9.41012614e-01],
       [-3.66771701e-01],
       [ 5.47141863e-01],
       [ 2.10666253e-01],
       [-1.89684803e-02],
       [-1.40001040e-01],
       [-4.23473555e-02],
       [-2.34834959e-01],
       [-4.11319580e-02],
       [ 2.10262312e-01],
       [-4.93629815e-01],
       [ 7.80960054e-01],
       [ 1.42355616e+00],
       [-4.30717032e-01],
       [ 4.42982235e-01],
       [ 4.04376833e-02],
       [-6.81561236e-01],
       [ 1.07513532e-01],
       [-3.28738820e-01],
       [-4.07520167e-02],
       [ 9.84905703e-01],
       [ 2.30626571e-01],
       [-5.07697712e-01],
       [-6.82379872e-01],
       [ 4.65504881e-01],
       [-4.08764201e-01],
       [-9.33427451e-01],
       [-2.98865836e-01],
       [-1.59107993e-01],
       [ 9.80582611e-03],
       [ 9.57796336e-01],
       [-4.44569846e-02],
       [ 8.71724528e-01],
       [ 1.88662179e-01],
       [-1.04298038e-01],
       [ 3.68679858e-01],
       [ 2.27838175e-01],
       [ 3.34634330e-02],
       [ 5.24413806e-01],
       [-1.05497801e+00],
       [-4.86712596e-01],
       [ 1.89769916e-01],
       [-6.75599566e-02],
       [-9.81694664e-02],
       [-1.86725300e-01],
       [-3.06252595e-01],
       [ 5.92880712e-01],
       [-4.54961944e-01],
       [-8.05055590e-02],
       [ 6.38245064e-01],
       [-5.39932389e-01],
       [-8.23022931e-01],
       [-6.57010572e-01],
       [ 3.00757539e-01],
       [-1.17297416e-01],
       [-3.23283671e-01],
       [ 1.43508629e-01],
       [ 2.07912426e-02],
       [-4.92729068e-01],
       [-4.57625961e-01],
       [ 4.47451327e-01],
       [-1.78311895e-01],
       [ 1.98406557e-01],
       [-1.18913305e-01],
       [ 1.49478886e-01],
       [-9.57867749e-01],
       [ 1.20327683e-02],
       [ 1.33985920e-01],
       [ 4.38014506e-01],
       [ 8.11865068e-02],
       [-1.03983270e-01],
       [-7.61319601e-01],
       [-7.79444440e-01],
       [-4.93483336e-02],
       [ 1.20411765e-01],
       [ 1.12218881e+00],
       [-1.18961845e-01],
       [ 2.67522642e-01],
       [ 6.59485601e-01],
       [-8.11898304e-01],
       [ 2.85966999e-01],
       [-1.70418188e-01],
       [-4.16121375e-01],
       [ 3.09385747e-01],
       [ 4.05809055e-02],
       [-9.08001018e-01],
       [ 6.95994612e-02],
       [ 5.78632920e-01],
       [ 1.41992357e-01],
       [ 4.47224879e-02],
       [-1.34193917e+00],
       [ 4.33417759e-01],
       [ 5.68926824e-01],
       [ 2.60994033e-02],
       [-5.50455497e-01],
       [-1.98708615e-01],
       [-5.60060977e-01],
       [-3.35248691e-01],
       [-6.10139448e-01],
       [ 4.86593994e-01],
       [ 2.33172303e-01],
       [ 4.50655775e-02],
       [-4.51703603e-02],
       [-2.63235602e-01],
       [-7.40937764e-02],
       [ 1.00398641e+00],
       [ 3.81545680e-01],
       [ 4.41595943e-01],
       [ 2.20914927e-01],
       [ 1.19624243e-01],
       [ 1.01366934e+00],
       [-7.80130913e-01],
       [-2.50854933e-01],
       [ 8.23823423e-02],
       [ 1.85838671e-01],
       [-2.06097753e-02],
       [-3.88799530e-01],
       [-1.57149854e+00],
       [-2.64162001e-01],
       [ 4.81026360e-01],
       [-6.49556396e-03],
       [ 2.93143747e-02],
       [-5.38899004e-01],
       [ 3.22962033e-01],
       [ 2.72405672e-01],
       [ 4.38628541e-01],
       [ 4.48024515e-01],
       [-2.22970401e-01],
       [-4.96912337e-01],
       [-2.14739725e-01],
       [-1.21262297e-02],
       [-2.29073185e-01],
       [ 3.58591763e-01],
       [-2.88069587e-01],
       [ 3.86379231e-01],
       [-3.75766894e-01],
       [ 5.45529861e-02],
       [ 5.85745058e-01],
       [ 4.22189322e-01],
       [ 8.08983779e-02],
       [-8.41958387e-03],
       [-1.44093221e-01],
       [-1.02414501e-01],
       [ 1.75673934e-01],
       [ 3.44508674e-01],
       [-3.16412895e-01],
       [ 3.95665657e-01],
       [-6.48853934e-02],
       [-3.03131949e-01],
       [ 1.53915671e-01],
       [ 3.53736659e-01],
       [ 2.72105404e-01],
       [-1.33741528e-01],
       [-8.84243970e-01],
       [ 3.49170201e-01],
       [ 4.73186551e-02],
       [-1.17879453e-01],
       [ 3.93801672e-01],
       [ 1.82237880e-01],
       [-1.08581728e-01],
       [ 6.45664993e-01],
       [-8.24789060e-02],
       [-4.18091786e-03],
       [ 6.72062598e-02],
       [-1.02284136e-01],
       [ 1.62266526e-01],
       [-3.00871661e-01],
       [-4.03026817e-02],
       [ 4.93962315e-01],
       [-3.02549278e-01],
       [-8.72826461e-02],
       [ 6.14046442e-01],
       [-7.02680067e-02],
       [ 8.28964936e-01],
       [-4.92196559e-02],
       [ 6.49421558e-01],
       [ 9.81098264e-02],
       [ 1.95023720e-01],
       [-4.20517185e-01],
       [-5.50517996e-02],
       [ 6.78812776e-02],
       [-1.56374168e-01],
       [ 1.54303716e-01],
       [-1.25143909e-02],
       [-1.00875916e-01],
       [-1.99895052e-01],
       [ 1.24368529e-01],
       [-2.24047980e-01],
       [ 8.64898127e-02],
       [-8.47707676e-01],
       [-4.22873884e-02],
       [ 2.91780661e-01],
       [-8.46355744e-03],
       [-3.34851775e-02],
       [ 6.04031291e-02],
       [-1.03103062e-01],
       [ 3.44034719e-01],
       [-1.05282136e-01],
       [ 2.34766959e-01],
       [ 2.83430269e-01],
       [-3.75718085e-01],
       [ 7.43896177e-01],
       [-2.18911492e-01],
       [ 8.06645470e-01],
       [-5.55744157e-02],
       [-1.05318712e+00],
       [ 5.05021787e-01],
       [ 4.75292678e-02],
       [-2.74175423e-01],
       [ 6.63897801e-01],
       [ 1.99002972e-01],
       [-3.22159606e-01],
       [ 2.30307579e-01],
       [ 4.88464976e-01],
       [-1.59293623e-02],
       [ 8.51476012e-02],
       [ 1.50059702e-01],
       [-1.05978083e-01],
       [ 3.53743675e-01],
       [ 3.69598963e-01],
       [-1.58212813e-01],
       [ 7.11568609e-03],
       [ 3.12545733e-01],
       [ 4.07603033e-01],
       [-6.80222583e-01],
       [-7.90293180e-03],
       [-8.74570861e-02],
       [-1.00040969e+00],
       [ 2.12694218e-01],
       [-1.11791038e+00],
       [-3.71063484e-01],
       [ 2.38968254e-01],
       [-3.99728186e-01],
       [-1.56307847e-01],
       [-1.24819824e-01],
       [ 7.64022219e-02],
       [ 4.06283667e-01],
       [ 2.56851427e-01],
       [-5.44134970e-01],
       [ 6.33436983e-02],
       [ 1.88658616e-01],
       [-3.17413304e-01],
       [ 7.49357705e-02],
       [-1.30702914e-01],
       [ 8.61834222e-01],
       [ 2.15917866e-01],
       [ 2.77402958e-01],
       [ 2.91993886e-02],
       [-3.24183114e-01],
       [ 8.81121713e-02],
       [ 1.79381624e-01],
       [-1.58906235e-01],
       [ 2.84622800e-01],
       [-5.85166351e-01],
       [-5.72972464e-01],
       [-1.03801540e-03],
       [ 1.92382019e-01],
       [ 4.83676338e-03],
       [ 1.00281183e+00],
       [-2.38888646e-01],
       [-7.15491343e-02],
       [ 1.17858715e-01],
       [-1.69642981e-02],
       [ 3.72940022e-01],
       [ 4.08658426e-01],
       [ 1.42494667e-02],
       [ 1.15625712e-01],
       [-3.17484313e-01],
       [ 5.99210715e-01],
       [ 6.08865618e-01],
       [-8.91454020e-02],
       [-1.88156962e+00],
       [ 6.95865302e-01],
       [-4.41295700e-01],
       [-6.30458543e-01],
       [ 4.19244755e-01],
       [-2.79135519e-01],
       [-3.43006970e-02],
       [ 1.35478694e-01],
       [ 1.11158727e-02],
       [-3.29947323e-02],
       [ 2.13152382e-01],
       [-4.29201606e-01],
       [ 1.94936607e-02],
       [ 6.19824486e-04],
       [ 7.66573686e-02],
       [ 3.19204066e-01],
       [ 2.43847410e-01],
       [ 5.99512597e-01],
       [-4.29947378e-03],
       [-7.11087504e-01],
       [-7.47890885e-02],
       [-2.60669185e-01],
       [-7.08643125e-02],
       [ 1.06230072e-01],
       [ 3.60803629e-02],
       [-8.09874977e-03],
       [-1.03419740e+00],
       [ 2.16254770e-01],
       [ 1.91672324e-02],
       [ 2.08816429e-01],
       [-3.38005949e-01],
       [-7.47270735e-01],
       [ 4.84471197e-01],
       [-5.26742940e-02],
       [-1.05990061e-01],
       [-6.89517215e-01],
       [-3.98285489e-02],
       [ 4.61095574e-01],
       [ 5.07739855e-01],
       [ 1.00281865e-01],
       [-1.57736210e-01],
       [-1.98687880e-01],
       [ 4.29151678e-01],
       [ 5.57248715e-02],
       [ 7.07208007e-01],
       [-8.42547579e-01],
       [-1.77175071e-01],
       [-7.52251012e-01],
       [ 9.12300162e-05],
       [ 3.69047268e-01],
       [-6.18250555e-01],
       [ 4.85057510e-01],
       [-3.90414942e-01],
       [-1.43885088e-01],
       [-1.96379945e-01],
       [ 4.90864999e-02],
       [ 5.73828132e-02],
       [-6.39392636e-02],
       [-1.01661739e-01],
       [-1.41853813e-01],
       [ 4.34153303e-01],
       [ 6.45482392e-01],
       [-2.38403019e-01],
       [ 6.90304624e-01],
       [-1.83164007e-01],
       [ 5.39067858e-01],
       [ 1.65464173e-01],
       [-5.29860915e-01],
       [ 8.46492649e-02],
       [ 5.40097343e-02],
       [ 1.89036670e-01],
       [-6.31487536e-01],
       [ 9.30203779e-02],
       [-1.37182404e-01],
       [-1.05447663e-01],
       [ 1.63668559e-01],
       [-3.67455628e-01],
       [ 1.23725794e-01],
       [-6.48465480e-01],
       [ 4.04199044e-02],
       [-1.03376531e-01],
       [ 1.60773949e-01],
       [ 1.37611649e-02],
       [ 9.03468579e-02],
       [-2.06000069e-01],
       [-1.62677837e-01],
       [-5.19909585e-01],
       [ 3.73244881e-01],
       [-2.73108218e-01],
       [ 5.04507548e-01],
       [-2.98143126e-01],
       [ 2.15966088e-01],
       [ 1.38071384e-01],
       [ 1.37968011e-05],
       [ 1.10960534e-02],
       [ 6.11971451e-01],
       [-2.27694260e-01],
       [ 2.29752989e-01],
       [-7.36537510e-03],
       [-1.75170929e-01],
       [-9.74644292e-02],
       [ 7.18207502e-01],
       [ 5.57615576e-03],
       [-9.79478793e-01],
       [-5.21647207e-01],
       [-3.51766989e-01],
       [-1.41357746e-01],
       [-8.85849530e-01],
       [ 1.87718524e-01],
       [ 1.34990517e-01],
       [-2.43358557e-01],
       [ 4.46657326e-01],
       [ 2.43931445e-04],
       [-5.45057230e-01],
       [ 1.94068295e-01],
       [ 5.55013377e-01],
       [ 1.48792477e-01],
       [-4.85545133e-03],
       [-4.46222408e-01],
       [ 1.22063620e-02],
       [ 2.41747001e-01],
       [ 1.88966954e-03],
       [-1.30012825e+00],
       [ 8.96519662e-01]])>","<Parameter: name=identity, dtype=float64, shape=[1000, 1], fn=""identity"", numpy=
array([[-4.64089706e-01],
       [ 6.89200615e-01],
       [-2.77245020e-01],
       [ 6.10073987e-01],
       [ 5.40014019e-01],
       [-1.60269018e-01],
       [-2.96323564e-01],
       [-3.57090711e-01],
       [ 8.79345410e-02],
       [-1.08703838e+00],
       [ 8.31327719e-01],
       [-7.32289411e-01],
       [ 4.71344279e-01],
       [-2.24343869e-01],
       [-8.13441501e-01],
       [ 5.31112444e-01],
       [-9.49164682e-01],
       [ 4.08387210e-01],
       [-1.54009246e-01],
       [-6.52592888e-01],
       [-1.26569890e-01],
       [ 1.61380400e-01],
       [-6.65526240e-01],
       [ 2.77412566e-01],
       [ 5.60996145e-02],
       [ 8.24594967e-01],
       [-9.69547806e-02],
       [ 3.57056809e-01],
       [ 9.74156624e-01],
       [ 4.46792488e-01],
       [-2.68999831e-01],
       [-2.19042199e-01],
       [ 1.04857498e-01],
       [ 2.71366899e-01],
       [ 1.64665528e-01],
       [ 7.91036714e-01],
       [ 6.63313359e-01],
       [-9.16244765e-01],
       [-4.28205693e-02],
       [-1.42078332e-01],
       [-4.41085893e-02],
       [-1.72748778e-01],
       [ 7.51784124e-01],
       [ 1.59982811e-01],
       [ 2.16081002e-01],
       [ 1.23462248e-01],
       [-4.37469182e-01],
       [ 5.48482269e-01],
       [-2.11343183e-01],
       [-1.44993582e-01],
       [-6.37348373e-01],
       [-6.41327208e-02],
       [-7.38852385e-01],
       [ 4.71168585e-01],
       [-1.85324501e-02],
       [-1.82946950e-01],
       [ 2.03286471e-01],
       [ 1.46655564e-01],
       [ 1.67291541e-01],
       [-9.47865434e-04],
       [ 2.48752258e-01],
       [-1.95071317e-01],
       [ 2.14995852e-01],
       [-2.93564484e-01],
       [ 2.95159199e-01],
       [ 1.09733597e+00],
       [ 2.52317037e-01],
       [-8.84783748e-02],
       [-4.00877141e-01],
       [ 3.94519519e-01],
       [ 2.12335520e-01],
       [-5.25074955e-01],
       [-1.92069310e-01],
       [ 7.13909375e-02],
       [ 9.46568018e-03],
       [-4.88046721e-01],
       [ 1.60001136e-01],
       [-4.02806053e-01],
       [-3.79402288e-01],
       [-7.19460762e-01],
       [-5.19190656e-01],
       [ 1.32286270e+00],
       [-8.34056681e-02],
       [ 6.69440153e-01],
       [-6.62467497e-01],
       [-6.04698999e-01],
       [-2.93405709e-01],
       [-9.21832445e-02],
       [ 1.83073106e-01],
       [-6.40372077e-01],
       [ 4.86922745e-01],
       [-6.75331689e-01],
       [-3.66255799e-02],
       [-2.78109680e-01],
       [-4.34522557e-01],
       [ 4.40135307e-01],
       [ 2.15498217e-01],
       [-2.30686740e-02],
       [ 1.42689044e-01],
       [ 3.38171558e-03],
       [ 1.77675078e-02],
       [ 7.20710909e-02],
       [ 3.42072982e-01],
       [ 1.83143859e-01],
       [ 4.17234574e-01],
       [-2.36938011e-01],
       [-2.53749873e-01],
       [ 1.85706429e-01],
       [-3.57230357e-01],
       [ 5.82259115e-01],
       [-7.96505200e-01],
       [-1.38651349e-01],
       [-1.10000619e-01],
       [-3.31162295e-01],
       [ 2.73125544e-01],
       [-1.37919402e-01],
       [ 7.46723302e-01],
       [-9.13340767e-01],
       [ 3.88897137e-03],
       [-5.37598180e-01],
       [ 4.04952168e-01],
       [ 1.98038388e-02],
       [ 2.65503310e-01],
       [ 2.23540821e-01],
       [ 2.04559902e-01],
       [ 5.48534407e-01],
       [-4.99541765e-02],
       [ 3.33908317e-01],
       [ 8.78417629e-01],
       [-2.40446274e-01],
       [-8.73753470e-01],
       [-2.77624646e-01],
       [ 8.90846345e-01],
       [ 1.98106531e-01],
       [ 3.14390992e-01],
       [-1.14612707e+00],
       [ 3.66703355e-01],
       [-4.63332227e-01],
       [ 3.69551288e-02],
       [ 2.28822483e-01],
       [-4.61952478e-01],
       [ 8.03591708e-02],
       [ 6.62034541e-01],
       [ 2.17233194e-01],
       [ 7.55189766e-01],
       [-2.09526549e-01],
       [ 8.43311207e-01],
       [ 8.15568524e-01],
       [-4.03221327e-01],
       [ 1.16150949e-01],
       [-6.01331037e-01],
       [ 5.03271345e-01],
       [ 1.91278003e-01],
       [ 6.15031821e-01],
       [ 8.00580904e-01],
       [ 6.66332772e-01],
       [ 1.08851678e+00],
       [ 3.81513344e-01],
       [-1.69494839e+00],
       [ 2.02848750e-01],
       [ 4.49139159e-01],
       [-2.44640895e-01],
       [ 7.54969235e-01],
       [-5.03692425e-01],
       [ 2.84074118e-01],
       [-6.18717533e-01],
       [-1.96637563e-01],
       [ 3.62238808e-01],
       [ 4.93998098e-01],
       [ 4.49112927e-01],
       [ 4.54109763e-02],
       [-4.36652823e-02],
       [ 1.65842541e-01],
       [ 2.09642381e-01],
       [ 1.16912838e-01],
       [-5.52359518e-01],
       [-5.85075208e-01],
       [-1.24927439e-01],
       [-2.10962606e-01],
       [-6.88984647e-01],
       [ 2.18816710e-01],
       [ 4.87638422e-01],
       [-1.41262404e+00],
       [ 3.62715820e-01],
       [ 6.70471697e-01],
       [ 1.05380796e-02],
       [-3.47953452e-01],
       [ 1.15113867e+00],
       [-2.98094430e-01],
       [ 1.89227344e-01],
       [-7.10981088e-02],
       [ 3.53097118e-01],
       [ 1.84704285e-01],
       [-9.29728995e-02],
       [-2.07356417e-01],
       [-6.04660663e-01],
       [-2.57394706e-01],
       [ 1.14449036e+00],
       [-2.13648681e-01],
       [ 1.93278240e-01],
       [-3.18041065e-02],
       [ 6.97823889e-01],
       [-3.11042782e-01],
       [-3.67463131e-01],
       [-2.87311916e-01],
       [-5.75796320e-01],
       [ 7.02343125e-02],
       [ 2.93298957e-01],
       [ 3.28582548e-01],
       [ 1.09700595e+00],
       [-1.68494983e-01],
       [-4.67274104e-01],
       [ 1.00414772e+00],
       [-9.34388466e-02],
       [-1.18866353e+00],
       [-4.09790439e-02],
       [-3.97648174e-01],
       [ 6.10555780e-01],
       [-2.64623001e-01],
       [-5.11094229e-01],
       [ 2.14591445e-01],
       [-6.02352295e-01],
       [-1.47046037e-01],
       [ 3.18775785e-01],
       [-3.70187600e-01],
       [ 9.81838294e-02],
       [-1.78931788e-01],
       [ 6.70625760e-01],
       [ 3.21892532e-01],
       [ 8.43759975e-02],
       [-6.57030314e-02],
       [-3.05104367e-02],
       [ 4.07240779e-01],
       [-6.27822819e-02],
       [-1.97337117e-01],
       [ 6.35656822e-02],
       [ 1.58535992e-01],
       [ 5.48957185e-01],
       [-1.66998503e-01],
       [-1.53343850e-01],
       [-5.29606411e-01],
       [-4.88726886e-01],
       [-4.01622048e-01],
       [ 8.49990828e-01],
       [ 7.04664759e-01],
       [-4.77575240e-01],
       [-1.12184381e-02],
       [-3.57611704e-01],
       [ 3.19929580e-01],
       [ 6.09201936e-01],
       [ 4.43273136e-01],
       [ 9.25511702e-01],
       [-4.93513809e-02],
       [ 7.46241111e-01],
       [ 2.06756070e-01],
       [-4.67528679e-01],
       [ 1.17386500e+00],
       [ 5.52382267e-01],
       [ 1.17225316e+00],
       [ 3.39206930e-01],
       [-9.11292777e-03],
       [ 1.37006673e-01],
       [-1.10221035e-01],
       [-4.41666999e-01],
       [-1.34880915e+00],
       [ 3.47313054e-01],
       [-1.94796288e-01],
       [-6.37219183e-01],
       [-1.11592273e-02],
       [-1.77934337e-01],
       [ 5.63140073e-02],
       [-5.84823311e-01],
       [-5.90446846e-01],
       [ 1.97544545e-01],
       [ 9.63817851e-02],
       [-1.72287855e-01],
       [ 1.84763622e-01],
       [-4.14867700e-01],
       [-2.39430579e-01],
       [-4.72661499e-02],
       [-6.12219235e-01],
       [ 6.40917550e-01],
       [-2.41815315e-01],
       [ 4.41773032e-01],
       [ 7.65665321e-02],
       [-4.81313617e-01],
       [-2.68364206e-01],
       [ 1.15126389e-01],
       [ 2.43670301e-01],
       [ 2.12929312e-01],
       [ 1.45089574e-02],
       [-1.25326279e-01],
       [-3.09302343e-01],
       [-4.33405825e-03],
       [ 9.02104065e-01],
       [ 3.89641599e-01],
       [ 3.43745063e-01],
       [-2.16701704e-01],
       [-3.02836215e-01],
       [ 1.71995724e-01],
       [ 1.12934258e-01],
       [-2.10553573e-01],
       [ 6.80793348e-02],
       [-2.42169470e-01],
       [-6.86431327e-01],
       [ 1.27814680e+00],
       [ 7.28710467e-01],
       [-6.62139831e-01],
       [ 8.80781086e-02],
       [ 4.31910041e-01],
       [ 1.90700924e-01],
       [-3.01332820e-01],
       [-3.07578708e-01],
       [ 4.75898902e-02],
       [ 3.22038118e-01],
       [ 1.12115465e+00],
       [ 6.37879775e-01],
       [-4.97993367e-01],
       [-2.34916420e-01],
       [ 5.93840773e-01],
       [ 1.06303452e-01],
       [-1.44603253e+00],
       [ 6.30230004e-01],
       [-9.29840436e-01],
       [-2.47336061e-01],
       [-1.31135835e-01],
       [-9.66248332e-02],
       [-3.68275646e-01],
       [-4.94154697e-01],
       [ 1.61983682e+00],
       [ 7.55515770e-01],
       [-1.19437760e-01],
       [ 5.50839669e-01],
       [ 1.19331951e-01],
       [ 7.11149228e-02],
       [-1.54784721e-01],
       [-3.37956686e-03],
       [ 7.36619847e-01],
       [-7.61286847e-03],
       [-1.80860636e-02],
       [ 4.75196525e-01],
       [-2.34141468e-01],
       [-1.64100837e-01],
       [ 3.59792838e-01],
       [ 4.28622614e-01],
       [ 8.22604298e-01],
       [ 1.74674930e-02],
       [-4.97875075e-01],
       [ 7.81565603e-03],
       [ 2.70455800e-01],
       [ 5.14270097e-01],
       [ 8.30437741e-01],
       [ 2.70846811e-01],
       [ 2.69567193e-01],
       [-4.66524117e-01],
       [ 4.31773730e-01],
       [-1.76435891e+00],
       [-3.19473360e-02],
       [-1.05826483e-01],
       [-5.06238131e-01],
       [-9.88027247e-01],
       [-2.92888637e-01],
       [ 2.21850205e-01],
       [-5.67397103e-01],
       [ 8.47547647e-01],
       [ 4.49964177e-01],
       [ 3.15932014e-01],
       [ 1.87486591e-03],
       [-2.20049337e-01],
       [-5.94659090e-01],
       [ 8.26992636e-02],
       [ 1.03320607e-01],
       [-4.13116225e-02],
       [ 1.16109492e+00],
       [-1.44264643e-01],
       [-3.28612348e-01],
       [ 2.44354973e-01],
       [ 5.80692801e-01],
       [-4.46921513e-01],
       [-7.07176319e-01],
       [ 5.23692636e-01],
       [-6.45769141e-01],
       [-2.48958349e-01],
       [-9.10073652e-02],
       [-4.55912851e-02],
       [ 2.32718245e-01],
       [ 3.34311111e-01],
       [-3.46329862e-01],
       [ 4.36318434e-02],
       [ 1.52800034e+00],
       [-3.71066622e-01],
       [-2.24183644e-01],
       [-6.25354416e-01],
       [ 7.38894687e-02],
       [-2.28130797e-01],
       [ 2.36509674e-03],
       [-7.82085606e-01],
       [ 4.64737587e-01],
       [-6.93396711e-01],
       [ 6.27498494e-01],
       [-1.00211624e+00],
       [ 8.53738410e-02],
       [-6.70540693e-02],
       [-6.80220952e-01],
       [-1.01205164e-01],
       [-2.07504035e-01],
       [-2.77316612e-01],
       [-2.65485521e-01],
       [-7.14200096e-01],
       [ 7.04189141e-01],
       [-5.65733364e-01],
       [ 3.11449106e-01],
       [ 8.27467659e-01],
       [-8.28310878e-01],
       [ 7.05934186e-01],
       [-6.83530639e-01],
       [ 1.00046511e+00],
       [-3.07140797e-01],
       [-8.13227404e-01],
       [ 7.62359188e-02],
       [-9.32050683e-02],
       [-9.90215808e-02],
       [ 1.47727389e+00],
       [-1.66305206e-01],
       [ 1.67062840e-01],
       [-1.58212904e-01],
       [-1.74889254e-01],
       [-1.40702640e-01],
       [ 4.16040267e-03],
       [ 6.26319709e-01],
       [-3.17516381e-01],
       [-5.97001238e-01],
       [ 5.17042862e-01],
       [-9.21236376e-01],
       [-9.26917012e-01],
       [ 1.54818277e-01],
       [ 1.40159452e+00],
       [ 4.33589645e-01],
       [-2.80309705e-01],
       [-1.80096724e-02],
       [ 6.73149630e-01],
       [-8.25856232e-01],
       [ 1.43942101e-02],
       [ 2.40385646e-01],
       [ 5.49063540e-01],
       [ 6.46290737e-03],
       [ 7.75925727e-02],
       [ 9.48834406e-01],
       [ 1.74879478e-01],
       [ 8.51096104e-01],
       [-9.66545657e-03],
       [-8.38730973e-02],
       [-4.62893703e-01],
       [-2.51826705e-01],
       [ 1.13801545e+00],
       [ 1.04753447e+00],
       [ 8.92152281e-01],
       [ 4.65393338e-01],
       [ 2.09011055e-01],
       [ 7.78222221e-01],
       [-1.08905526e+00],
       [ 4.64145107e-01],
       [-7.05481344e-01],
       [ 8.20220993e-01],
       [-1.97466714e-01],
       [ 1.06165607e+00],
       [ 4.22137718e-02],
       [ 8.85331834e-02],
       [-6.87363320e-01],
       [ 7.80241683e-01],
       [ 7.10724735e-01],
       [ 8.11885656e-02],
       [ 1.13040906e-01],
       [-3.17720276e-01],
       [-1.03330388e+00],
       [-1.74633379e-01],
       [ 2.04492275e-02],
       [ 6.02611465e-01],
       [ 3.52113059e-01],
       [ 4.66696903e-02],
       [ 3.77125795e-03],
       [-3.83478458e-01],
       [-1.07055059e+00],
       [ 1.61488514e-02],
       [-4.57704215e-01],
       [-1.37465305e-01],
       [-8.03207180e-01],
       [-2.24237044e-01],
       [-7.15685156e-01],
       [-2.90111693e-01],
       [-1.21201494e+00],
       [-9.58830509e-02],
       [ 1.33857631e-02],
       [-7.03440339e-02],
       [-1.11640884e-01],
       [ 5.78881930e-01],
       [-4.48678219e-02],
       [ 2.04759728e-01],
       [ 5.23064957e-01],
       [-1.65540128e-01],
       [ 5.25570155e-03],
       [ 7.04000750e-02],
       [-5.37989702e-01],
       [-7.53573161e-01],
       [-7.35648228e-02],
       [ 1.86362278e-01],
       [-1.85684722e-01],
       [ 3.54915064e-02],
       [-1.87020987e-03],
       [-2.24560435e-01],
       [-3.83929332e-02],
       [ 5.77188126e-01],
       [ 3.59128756e-01],
       [-4.29775241e-01],
       [-3.69041119e-01],
       [-1.20570584e-02],
       [ 4.08057074e-01],
       [-2.12694875e-01],
       [ 5.48512874e-02],
       [-8.36156094e-02],
       [ 3.58415720e-02],
       [-3.05465350e-01],
       [ 2.25313664e-01],
       [ 7.10787957e-01],
       [ 1.26454515e-02],
       [ 1.33158213e-01],
       [-9.04089039e-02],
       [-4.47558828e-01],
       [-2.21034578e-01],
       [ 3.80255740e-01],
       [-2.69767555e-03],
       [ 9.52950742e-01],
       [-4.08970615e-01],
       [ 4.06539199e-01],
       [-2.78909092e-01],
       [-6.74339934e-02],
       [-2.69864664e-01],
       [ 4.25265058e-01],
       [-1.54817518e-01],
       [ 1.23895096e-01],
       [ 3.68123871e-01],
       [-1.22858811e-02],
       [ 1.40215707e+00],
       [-1.40141587e-01],
       [ 1.72940450e-03],
       [ 4.17021930e-03],
       [ 4.93851203e-01],
       [ 8.52804684e-02],
       [ 1.36166395e-01],
       [ 7.49842207e-01],
       [-5.74212285e-01],
       [ 9.51923742e-01],
       [-3.75740219e-01],
       [-8.08917282e-02],
       [-4.01977458e-01],
       [-2.84404488e-01],
       [ 2.57931116e-01],
       [ 2.43042173e-01],
       [ 4.66434438e-01],
       [-1.24575908e-01],
       [-9.05386412e-01],
       [-1.05834149e-01],
       [-1.71375281e-02],
       [ 2.08251710e-02],
       [-1.04008641e+00],
       [ 4.03088827e-01],
       [ 3.42954027e-02],
       [-2.33086726e-01],
       [-1.60298042e-01],
       [ 8.52572310e-02],
       [-1.37506264e-01],
       [-4.52737386e-02],
       [-9.94722089e-02],
       [ 2.37198844e-02],
       [ 1.60989521e-02],
       [ 7.09425151e-01],
       [ 1.14203187e+00],
       [-5.03593764e-02],
       [ 4.49820454e-01],
       [ 6.64340610e-02],
       [-4.69093976e-01],
       [ 2.86080717e-01],
       [-1.39955882e+00],
       [ 1.09054697e-01],
       [ 1.05464208e-01],
       [-4.13800459e-02],
       [-9.75122275e-01],
       [ 6.91107381e-01],
       [ 2.31881919e-01],
       [-2.92094973e-01],
       [ 6.69519298e-01],
